Quarter-ID,QUARTER,YEAR,Course UID,CLASS,TITLE,UNITS,DATES,TIMES,PROGRAM,WEEKS,INSTRUCTOR,Comments
4,SUMMER,2021,,OMIS 3391,Accelerating Innovation,4,MW,7:35pm-9:10pm,MBA,,,
3,SPRING 2021,,,OMIS 3250,"Analysis, Design, and Management of Enterprise Platforms",2,TR,5:45pm-7:20pm,MBA,1-5,,
3,SPRING 2021,,,OMIS 3250,"Analysis, Design, and Management of Enterprise Platforms",2,TR,7:35pm-9:10pm,MBA,1-5,,
3,SPRING 2021,,,OMIS 3250,"Analysis, Design, and Management of Enterprise Platforms",2,MW,7:35pm-9:10pm,MBA,1-5,,
2,WINTER 2021,,,OMIS 3202,Analytical Decision Making,2,TR,5:45pm-7:20pm,MBA,6-10,,course name corrected by Andy
2,WINTER 2021,,,OMIS 3202,Analytical Decision Making,2,TR,7:35pm-9:10pm,MBA,6-10,,course name corrected by Andy
2,WINTER 2021,,,OMIS 3202,Analytical Decision Making,2,MW,7:35pm-9:10pm,MBA,6-10,,course name corrected by Andy
4,SUMMER 2021,,,OMIS 3202,Analytical Decision Making,2,MW,7:35pm-9:10pm,MBA,6-10,,course name corrected by Andy
1,FALL 2020,,,OMIS 3202,Analytical Decision Making,2,,ONLINE,OMBA,6-10,,course name corrected by Andy
2,WINTER 2021,,,OMIS 3202,Analytical Decision Making,2,,ONLINE,OMBA,6-10,,course name corrected by Andy
3,SPRING 2021,,,OMIS 3202,Analytical Decision Making,2,,ONLINE,OMBA,,,course name corrected by Andy
4,SUMMER 2021,,,OMIS 3202,Analytical Decision Making,2,,ONLINE,OMBA,6-10,,course name corrected by Andy
1,FALL 2020,,,EMBA 903,Analytics,6,,,EMBA,,"Tsay, A.",course name corrected by Andy
1,FALL 2020,,,MSIS 2527/2627,Big Data Modeling & Analytics,4,TR,5:45pm-7:20pm,,,"Parsian,Mahmoud",
2,WINTER 2021,,,MSIS 2627,Big Data Modeling & Analytics,4,TR,7:35pm-9:10pm,MS,,"Parsian,Mahmoud",
3,SPRING 2021,,,MSIS 2627,Big Data Modeling & Analytics,4,MW,7:35pm-9:10pm,MS,,,
1,FALL 2020,,,OMIS 3000,Business Analytics,4,TR,5:45pm-7:20pm,MBA,,,
3,SPRING 2021,,,OMIS 3000,Business Analytics,4,TR,5:45pm-7:20pm,MBA,,,
3,SPRING 2021,,,OMIS 3000,Business Analytics,4,MW,5:45pm-7:20pm,MBA,,,
3,SPRING 2021,,,OMIS 3000,Business Analytics,4,TR,7:35pm-9:10pm,MBA,,,
1,FALL 2020,,,OMIS 3000,Business Analytics,4,,ONLINE,OMBA,,,
1,FALL 2020,,,OMIS 3000,Business Analytics,4,,ONLINE,OMBA,,,
3,SPRING 2021,,,OMIS 3000,Business Analytics,4,,ONLINE,OMBA,,,
3,SPRING 2021,,,OMIS 3000,Business Analytics,4,,ONLINE,OMBA,,,
3,SPRING 2021,,,MSIS 2621,Business Intelligence,4,TR,7:35pm-9:10pm,MS,,,
1,FALL 2020,,,MSIS 2621,Business Intelligence & Data Warehousing,4,TR,5:45pm-7:20pm,,,,Not  being introduced for a while. Is it because of student interest?
4,SUMMER 2021,,,OMIS 3052,CHALLENGES IN,2,SAT,TBD,MBA,,"Kiran, Shashi",
2,WINTER 2021,,,MSIS 2628,Cloud Computing,2,SAT,8:30 AM,MS,,,
4,SUMMER 2021,,,MSIS 2628,Cloud Computing,2,MW,5:45pm-7:20pm,MS,6-10,,
3,SPRING 2021,,,MSIS 2638,Cloud Computing Architectures,4,TR,5:45pm-7:20pm,MS,,,
2,WINTER 2021,,,MSIS 2629,Dashboards,2,TR,5:45pm-7:20pm,MS,6-10,,
3,SPRING 2021,,,MSIS 2629,Dashboards,2,SAT,,MS,,,
1,FALL 2020,,,MSIS 2507/IDIS 3802,Data Analytics w/ Python,4,TR,5:45pm-7:20pm,MBA/MS,,,
1,FALL 2020,,,MSIS 2607,Data Analytics w/ Python,4,MW,5:45pm-7:20pm,MS,,,Is the course number correct? Are we supposed to offered 3 sections
2,WINTER 2021,,,MSIS 2407/2507/2607/IDIS 3802,Data Analytics w/ Python,4,MW,5:45pm-7:20pm,MBA/MS,,,
1,FALL 2020,,,MSIS 2507/IDIS 3802,Data Analytics w/ Python,4,TR,7:35pm-9:10pm,MBA/MS,,,
1,FALL 2020,,,MSIS 2613/2523/2423,"Database Mgmt Systems: Analysis, Design,",2,TR,7:35pm-9:10pm,6-10,,,
3,SPRING 2021,,,MSIS 2613/OMIS 3366,"Database Mgmt Systems: Analysis, Design,",2,MW,7:35pm-9:10pm,MBA/MS,6-10,,
1,FALL 2020,,,MSIS 2603/2403,Database Mgmt Systems: Fund.,2,TR,7:35pm-9:10pm,MSIS,1-5,,
3,SPRING 2021,,,MSIS 2603,Database Mgmt Systems: Fund.,2,MW,7:35pm-9:10pm,MS,1-5,,
1,FALL 2020,,,MSIS 2503,Database Mgmt Systems: Fund.,2,TBD,AFTERNOON,MS,Pre-Fall,BOOTCAMP,"Starts before Fall quarter, in early September"
1,FALL 2020,,,MSIS 2503,Database Mgmt Systems: Fund.,2,TBD,EVENING,MS,Pre-Fall,BOOTCAMP,"Starts before Fall quarter, in early September"
3,SPRING 2021,,,MSIS 26XX,Deep Learning,2,MW,5:45pm-7:20pm,MS,1-5,,
1,FALL 2020,,,MSIS 2533/2633,Deep Learning,2,MW,7:35pm-9:10pm,6-10,,"Varma, Subir",
1,FALL 2020,,,MSIS XXXX/OMIS 2392,Econometrics w/ R,4,MW,5:45pm-7:20pm,MS,,,Are they supposed to be two 2-unit course and one of them belong to Econmics department?
1,FALL 2020,,,MSIS XXXX/OMIS 2392,Econometrics w/ R,4,MW,7:35pm-9:10pm,MS,,,Dan has not talked to me about this?
1,FALL 2020,,,OMIS 3250,Enterprise Platforms,2,TR,7:35pm-9:10pm,MBA,6-10,,
