Year,Term,Subject,Catalog,Descr,Primary Instructor Name,Max Units,Long Title,Description,Requisite
2019,Fall,ACTG,2301,Financial and Managerial Actg,"Teruel,Frank",3,Financial and Managerial Accounting,This course combines an introduction to financial and managerial accounting to assist students in understanding how these disciplines contribute to the success of the firm.  It will focus on the interpretation of reported financial information and how these disciplines contribute to decision-making in the firm.,MSINFSYSMJ Academic Plan ONLY
2019,Fall,ACTG,3000,Financial Accounting,"Nelson,Brian Charles",4,Financial Accounting,,(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,ACTG,3000,Financial Accounting,"Nelson,Brian Charles",4,Financial Accounting,,(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)
2019,Fall,ECON,2504,Micro with Econometric App.,"Cameron-Loyd,Patricia Jane",4,Microeconomics with Econometric Appliactions,Topics include the characteristics of costs and demand and profit maximization pricing. Market structures are studied with a focus on differences and the concomitant consequences for business decisions. Students will understand the various market structures in the context of the global trade environment. Regression analysis is used to rigorously estimate costs and demands.,MSBUSAMJ Academic Plan Only
2019,Fall,ECON,2504,Micro with Econometric App.,"Cameron-Loyd,Patricia Jane",4,Microeconomics with Econometric Appliactions,Topics include the characteristics of costs and demand and profit maximization pricing. Market structures are studied with a focus on differences and the concomitant consequences for business decisions. Students will understand the various market structures in the context of the global trade environment. Regression analysis is used to rigorously estimate costs and demands.,MSBUSAMJ Academic Plan Only
2019,Fall,ECON,3000,Managerial Economics,"Shin,Dongsoo",4,Managerial Economics,"This course will introduce economic foundation for managerial decisions.  The course analyzes the economic behavior of individuals and firms and explores how their interactions in markets affect managerial decisions.  Basic concept of market, price elasticity, theory of consumer and theory of firm will be studied to incorporate economic theories in managerial decision making.  How key managerial decisions are made in different industrial structures will be discussed.",(OMIS 3202 OR OMIS 355 OR OMIS 3352) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ AND NOT (ECON 401 OR ECON 3400 OR ECON 2401 OR ECON 852)
2019,Fall,ECON,3000,Managerial Economics,"Kotsiri,Sofia",4,Managerial Economics,"This course will introduce economic foundation for managerial decisions.  The course analyzes the economic behavior of individuals and firms and explores how their interactions in markets affect managerial decisions.  Basic concept of market, price elasticity, theory of consumer and theory of firm will be studied to incorporate economic theories in managerial decision making.  How key managerial decisions are made in different industrial structures will be discussed.",(OMIS 3202 OR OMIS 355 OR OMIS 3352) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ AND NOT (ECON 401 OR ECON 3400 OR ECON 2401 OR ECON 852)
2019,Fall,ECON,3000,Managerial Economics,"Kotsiri,Sofia",4,Managerial Economics,"This course will introduce economic foundation for managerial decisions.  The course analyzes the economic behavior of individuals and firms and explores how their interactions in markets affect managerial decisions.  Basic concept of market, price elasticity, theory of consumer and theory of firm will be studied to incorporate economic theories in managerial decision making.  How key managerial decisions are made in different industrial structures will be discussed.",(OMIS 3202 OR OMIS 355 OR OMIS 3352) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ AND NOT (ECON 401 OR ECON 3400 OR ECON 2401 OR ECON 852)
2019,Fall,EMBA, 900A,Leadership Dynamic Environment,"Posner,Barry Z",3,Leadership in Dynamic Environments,"The program begins with a three-day residential weekend taught by Dr. Barry Posner, an internationally renowned leadership expert. In this intensive weekend seminar students receive 360-degree feedback about themselves as leaders, learn about and develop skills related to the practices of exemplary leaders, and determine action plans for improving themselves as leaders back in their workplaces. The weekend also helps orient students to setting personal goals, working effectively in small groups, and expanding their learning processes. (3 units)",
2019,Fall,EMBA, 900B,Leadership Module II,"Posner,Barry Z",3,Leadership Module II,Capstone Weekend. Culmination of the program; links back to the first leadership weekend and ties together the various themes.,
2019,Fall,EMBA, 900B,Leadership Module II,"Posner,Barry Z",3,Leadership Module II,Capstone Weekend. Culmination of the program; links back to the first leadership weekend and ties together the various themes.,
2019,Fall,EMBA, 900B,Leadership Module II,"Posner,Barry Z",3,Leadership Module II,Capstone Weekend. Culmination of the program; links back to the first leadership weekend and ties together the various themes.,
2019,Fall,EMBA, 901,Strategic Management,"Madsen,Tammy",4,Strategic Management,"Strategy is inherently dynamic. This course focuses on the processes by which managers position their businesses to create and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs -- choosing what not to do is as important as choosing what to do. As a result, the course will expose you to frameworks and concepts for analyzing a firm's environment and competitive position to inform the strategic decision making process. By uncovering the factors that make some strategic positions strong and viable, we shall develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macro-environmental forces, and technology on industry structure and firm behavior and, in turn, on a firm's opportunities for creating, capturing and sustaining superior profits relative to rivals.",
