Subject,Catalog,Instructor_Name,Requisite,Long Title,Description
ACTG,2300,"['Paisley,Christopher B']",(MSFNCEMJ OR MSENTREPMJ),Financial Accounting,"This course focuses on issues and techniques relating to the gathering, presentation, and analysis of the financial information firms publicly report to the capital markets regarding firm position and performance.  The course subsequently considers the use of this information, along with non-financial and proprietary information, in tactical and strategic decision processes designed to enhance stakeholder value for an organization."
ACTG,2301,"['Teruel,Frank']",MSINFSYSMJ Academic Plan ONLY,Financial and Managerial Accounting,This course combines an introduction to financial and managerial accounting to assist students in understanding how these disciplines contribute to the success of the firm.  It will focus on the interpretation of reported financial information and how these disciplines contribute to decision-making in the firm.
ACTG,2608,"['Teruel,Frank']",MSINFSYSMJ ONLY,Financial Accounting,"This course introduces the roles, concepts, legal requirements and impacts of financial reporting. It covers the basic financial statements and the analysis and recording of transactions, with a focus towards interpretations of reported results. Topics covered include, the impact on accounting of a changing regulatory environment, the accrual basis of accounting, the application of Generally Accepted Accounting Principles (GAAP), an introduction to International Financial Reporting Standards (IFRS), and the ability to perform a financial analysis and make investment and lending decisions using a set of corporate financial statements."
ACTG,3000,"['Nelson,Brian Charles' 'Paisley,Christopher B' 'Teruel,Frank']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Financial Accounting,
ACTG,3701,"['Osorio,Jeffrey R']",,Accounting for Financial Planning and Analysis,"There is no part of any business enterprise that is not impacted by the Financial Planning and Analysis function. In this course we explore the tools and processes used to evaluate, manage and control the performance of the enterprise and how to fully utilize the Finance function as a strategic resource in the operation of the entity.

This course will focus on the operational side of Financial Planning and Analysis, including new product introduction, product costing and Make-Buy decisions, as well as the systems and tools used to support a production environment."
ACTG,3702,"['Osorio,Jeffrey R']",,FP & A:  Business Planning & Analytics,"This course focuses on the operational side of financial planning and analysis, including new business planning, cost management, margin analysis, and performance management. Prerequisite: ACTG 2300 or ACTG 3100 or ACTG 3000. (2 units)"
ECON,2400,"['Cameron-Loyd,Patricia Jane']",,,
ECON,2401,"['Kotsiri,Sofia']",(MSFNCEMJ OR MSENTREPMJ),Economics for Business Decisions,"Managerial economics. Demand, cost, production, and pricing at the level of the individual firm or industry. Market structure and the regulatory environment. Emphasis on applications as well as theory."
ECON,2409,"['Ardelean,Adina T']",,Econometrics,Covers the basic conceptual foundations and tools of econometrics and apply them to case studies with real-world data. The key statistical technique used in this course is multiple linear regression.
ECON,2504,"['Cameron-Loyd,Patricia Jane']",MSBUSAMJ Academic Plan Only,Microeconomics with Econometric Appliactions,Topics include the characteristics of costs and demand and profit maximization pricing. Market structures are studied with a focus on differences and the concomitant consequences for business decisions. Students will understand the various market structures in the context of the global trade environment. Regression analysis is used to rigorously estimate costs and demands.
ECON,2509,"['Ardelean,Adina T' 'Pu,Ning']",MSBUSAMJ Academic Plan Only,Econometrics,Covers the basic conceptual foundations and tools of econometrics and apply them to case studies with real-world data. The key statistical technique used in this course is multiple linear regression.
ECON,3000,"['Cameron-Loyd,Patricia Jane' 'Kotsiri,Sofia' 'Shin,Dongsoo'
 'Sundstrom,William A']",(OMIS 3202 OR OMIS 355 OR OMIS 3352) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ AND NOT (ECON 401 OR ECON 3400 OR ECON 2401 OR ECON 852),Managerial Economics,"This course will introduce economic foundation for managerial decisions.  The course analyzes the economic behavior of individuals and firms and explores how their interactions in markets affect managerial decisions.  Basic concept of market, price elasticity, theory of consumer and theory of firm will be studied to incorporate economic theories in managerial decision making.  How key managerial decisions are made in different industrial structures will be discussed."
ECON,3052,"['Helmers,Christian']",(MGMT 3519 OR 3050 OR CONCURRENT ENROLLMENT IN MGMT 3519 OR 3050) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),"Challenges In:  The Economics of Innovation and Intellectual
Property","This course provides an overview of the economics of innovation and intellectual property. The course covers recent events related to intellectual property, such as the debate on software patents, patent wars, patent litigation involving patent trolls, and standard essential patents. It also introduces students to the economics of other intellectual property rights, including trademarks, copyright, and design rights."
ECON,3430,"['Maliar,Serguei' 'Shin,Dongsoo']",(ECON 3400 OR ECON 401 OR ECON 2401 OR ECON 852 OR ECON 3000) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)  AND NOT (ECON 405 OR ECON 857),Game Theory and Strategic Behavior,"Studies theoretical concepts and tools for analyzing issues in the business environment such as conflict, bargaining, pretending and shirking in organizations and markets, agenda construction, and strategic commitment. Teaches game theoretical topics such as Nash-equilibrium, Sub game perfection, Bayesian Nash-equilibrium, Harsanyi transformation, commitment, and Perfect Bayesian Equilibrium."
ECON,3431,"['Maliar,Serguei']",,Dynamic macroeconomics and monetary policy: theory and applications,"Dynamic
macroeconomic models are currently used by both researchers and practitioners (central
banks, governments and international organizations) for policy analysis, simulations and
projections. This course provides an introduction to such models. Topics include a review
of analytical and numerical tools for dynamic optimization; quantitative analysis of
business cycle using the neoclassical growth theory; monetary policy analysis and
projection using new Keynesian models; social security and inter-generational transfers
and other selected topics of economic dynamics."
