,Subject_Catalog,Instructor_Name,Term_Offered,Syllabus_Link,Array_path
0,MSIS 2603,Shailesh Agarwal,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2603_Shailesh Agarwal_Fall 2017.pdf,"['MSIS 2603', 'Shailesh Agarwal', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2603_Shailesh Agarwal_Fall 2017.pdf']"
1,MSIS 2605,Yasin Ceran,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2605_Yasin Ceran_Fall 2017.pdf,"['MSIS 2605', 'Yasin Ceran', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2605_Yasin Ceran_Fall 2017.pdf']"
2,MSIS 2624,Alan Tan,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2624_Alan Tan_Fall 2017.pdf,"['MSIS 2624', 'Alan Tan', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2624_Alan Tan_Fall 2017.pdf']"
3,MSIS 2627,Mahmoud Parsian,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2627_Mahmoud Parsian_Fall 2017.pdf,"['MSIS 2627', 'Mahmoud Parsian', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2627_Mahmoud Parsian_Fall 2017.pdf']"
4,MSIS 2629,Michael Schermann,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2629_Michael Schermann_Fall 2017.pdf,"['MSIS 2629', 'Michael Schermann', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2629_Michael Schermann_Fall 2017.pdf']"
5,MSIS 2641,Simon Seidler,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2641_Simon Seidler_Fall 2017.pdf,"['MSIS 2641', 'Simon Seidler', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2641_Simon Seidler_Fall 2017.pdf']"
6,MSIS 2802,Michele Samorani,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/MSIS 2802_Michele Samorani_Fall 2017.pdf,"['MSIS 2802', 'Michele Samorani', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/MSIS 2802_Michele Samorani_Fall 2017.pdf']"
7,OMIS 2355,Gangshu Cai,Fall 2017,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Fall 2017/OMIS 2355_Gangshu Cai_Fall 2017.pdf,"['OMIS 2355', 'Gangshu Cai', 'Fall 2017', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Fall 2017/OMIS 2355_Gangshu Cai_Fall 2017.pdf']"
8,IDIS 3802,Alan Tan,Spring 2018,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Spring 2018/IDIS 3802_Alan Tan_Spring 2018.pdf,"['IDIS 3802', 'Alan Tan', 'Spring 2018', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Spring 2018/IDIS 3802_Alan Tan_Spring 2018.pdf']"
9,MSIS 2605,Yasin Ceran,Spring 2018,C:\Users\rujut\Desktop\Rujuta\Winter 2020\Capstone\Script1\syllabi_modified\2017-18\Spring 2018/MSIS 2605_Yasin Ceran_Spring 2018.pdf,"['MSIS 2605', 'Yasin Ceran', 'Spring 2018', 'C:\\Users\\rujut\\Desktop\\Rujuta\\Winter 2020\\Capstone\\Script1\\syllabi_modified\\2017-18\\Spring 2018/MSIS 2605_Yasin Ceran_Spring 2018.pdf']"
